,Current,Last Click,First Click,Linear,Time Decay,Shapley
Paid Search,8446.223,8639.262431124223,3523.104782609456,6117.98109555436,6682.340575782369,17158.241172605227
Paid Social,4152.3132,3632.339192581567,6792.19588761624,5189.028002246489,4880.3744813249405,2558.5843273947703
Email,265.1533,4593.992377789612,2288.827803469973,3692.2227393490907,3900.80331531765,0.0
Influencer,6486.75,1851.4689284212538,4621.098596478888,3060.956732982137,2750.1089066130376,0.0
Display,366.386,999.7625700833422,2491.5984298254407,1656.636929867922,1503.198220962002,0.0
