channel,Spend,First Touch Revenue,First Touch ROAS,Last Touch Revenue,Last Touch ROAS,Linear Revenue,Linear ROAS,Time Decay Revenue,Time Decay ROAS,Position Based Revenue,Position Based ROAS,first_touch_fractional_conversions,first_touch_cost_per_conversion,last_touch_fractional_conversions,last_touch_cost_per_conversion,linear_fractional_conversions,linear_cost_per_conversion,time_decay_fractional_conversions,time_decay_cost_per_conversion,position_based_fractional_conversions,position_based_cost_per_conversion
Direct,0.0,10743.48,,19450.06,,12586.647428571428,,13880.267749204648,,14105.304566666668,,69.0,0.0,127.0,0.0,84.33333333333333,0.0,91.87513274268086,0.0,92.9,0.0
Display,367.8175,23543.99,64.00997777430383,9436.56,25.655549287350382,15991.798547619048,43.47753586389731,13999.88018686971,38.062028551848975,16216.220533333333,44.08768080184693,143.0,2.5721503496503497,64.0,5.7471484375,101.2,3.6345602766798417,87.98682903069299,4.180369994601032,101.76,3.6145587657232703
Email,267.6623,20945.25,78.25252192781726,43699.67,163.26419521912499,35462.94445238095,132.49136861030092,38056.3937782607,142.18062752304192,33602.4316,125.54039773251594,140.0,1.9118735714285715,283.0,0.9458031802120141,225.09761904761905,1.1890943188669467,241.74594431486815,1.1072049244035154,217.54000000000002,1.2304049829916337
Influencer,6549.2884,44006.61,6.71929640478193,17667.95,2.6976900269042967,29464.433928571427,4.498875622666338,25492.93820024141,3.892474516810316,30392.129100000002,4.6405238621038585,255.0,25.68348392156863,104.0,62.973926923076924,173.38809523809525,37.77242255880697,151.3312181725662,43.27784101051581,177.22666666666666,36.95430559735179
Paid Search,8528.4723,32591.17,3.8214546349643417,81133.76,9.513281763253191,58448.223333333335,6.853305173229365,65311.73464196443,7.65808134734335,57340.0996,6.7233729070093835,212.0,40.2286429245283,502.0,16.988988645418324,368.93095238095236,23.11671667817568,410.29600536020826,20.786145096666633,360.73,23.642259584730958
Paid Social,4188.5974,63650.64,15.196170441207839,33688.3,8.042859406826736,49385.27092857143,11.790407674075201,45878.38432036627,10.953161628846514,49053.34033333333,11.711161433976285,409.0,10.241069437652811,221.0,18.952929411764703,317.1690476190476,13.206198497121107,295.02454502160333,14.197453976899743,316.4066666666667,13.23801879437854
SEO/Organic,0.0,33813.27,,24218.11,,27955.09138095238,,26674.811123092826,,28584.884266666668,,226.0,0.0,153.0,0.0,183.88095238095238,0.0,175.7403253573802,0.0,187.43666666666667,0.0
