channel,First Touch,Last Touch,Linear,Time Decay,Position Based
Paid Search,32591.17,81133.76,58448.223333333335,65311.73464196443,57340.0996
Paid Social,63650.64,33688.3,49385.27092857143,45878.38432036627,49053.34033333333
Email,20945.25,43699.67,35462.94445238095,38056.3937782607,33602.4316
Influencer,44006.61,17667.95,29464.433928571427,25492.93820024141,30392.129100000002
SEO/Organic,33813.27,24218.11,27955.09138095238,26674.811123092826,28584.884266666668
Display,23543.99,9436.56,15991.798547619048,13999.88018686971,16216.220533333333
Direct,10743.48,19450.06,12586.647428571428,13880.267749204648,14105.304566666668
