,Rev_Last_Click,Rev_First_Click,Rev_Linear,Rev_Time_Decay,Rev_Shapley,Spend,ROAS_Last_Click,ROAS_First_Click,ROAS_Linear,ROAS_Time_Decay,ROAS_Shapley
Direct,19203.11,10972.64,12515.877428571428,13433.96626609449,118717.12010212515,0.0,,,,,
Display,9426.41,23325.01,15713.618547619048,14400.819938902712,0.0,366.386,25.728084588384924,63.66239430545926,42.88815224276868,39.30504969868584,0.0
Email,43315.14,21426.78,35021.66266666666,37370.165409731555,0.0,265.1533,163.35885693295162,80.80902632552565,132.0808101074611,140.93796083145696,0.0
Influencer,17456.85,43260.25,29033.945595238096,26346.374433015033,0.0,6486.75,2.6911550468262226,6.669017612826146,4.475884779780028,4.061567723901034,0.0
Paid Search,81456.57,32981.42,58030.59166666667,64017.627256557214,95887.48244566603,8446.223,9.644141529296586,3.904872035701638,6.870596675776459,7.579438437341427,11.35270551649726
Paid Social,34248.05,63584.9,49219.2375952381,46754.57511850845,14298.447452208855,4152.3132,8.247944784126593,15.313127150427865,11.853450167303878,11.259886445586151,3.443489631805437
SEO/Organic,23796.92,33352.05,27691.800666666666,26579.52157719054,0.0,0.0,,,,,
